Namesake,Original,Namesake Coordinates,Original Coordinates
"Cabool, Missouri","Kabul, Afghanistan","(37.123941, -92.1012678)","(34.5260109, 69.1776838)"
"Valona, Georgia","Vlorë, Albania","(31.4782782, -81.3439877)","(40.4707602, 19.4912716)"
"Algiers, Louisiana","Algiers, Algeria","(29.9413467, -90.0375901)","(36.7753606, 3.0601882)"
"Algiers, Indiana","Algiers, Algeria","(38.4872721, -87.1750093)","(36.7753606, 3.0601882)"
"Oran, Missouri","Oran, Algeria","(37.0850502, -89.6553636)","(35.7044415, -0.6502981)"
"Angola, Indiana","Angola, Angola","(41.634874, -84.99928)","(-11.8775768, 17.5691241)"
"Angola, New York","Angola, Angola","(42.638393, -79.027816)","(-11.8775768, 17.5691241)"
"La Plata, Missouri","La Plata, Argentina","(40.0233687, -92.4915779)","(-34.9206797, -57.9537638)"
"La Plata, Maryland","La Plata, Argentina","(38.5260311, -76.9766569)","(-34.9206797, -57.9537638)"
"Ballarat, California","Ballarat, Victoria, Australia","(36.047796, -117.224892)","(-37.5623013, 143.8605645)"
"Brisbane, California","Brisbane, Queensland, Australia","(37.687165, -122.402794)","(-27.4689682, 153.0234991)"
"Melbourne, Florida","Melbourne, Victoria, Australia","(28.106471, -80.6371513)","(-37.8142454, 144.9631732)"
"Melbourne, Kentucky","Melbourne, Victoria, Australia","(39.0297843, -84.3663279)","(-37.8142454, 144.9631732)"
"Melbourne, Arkansas","Melbourne, Victoria, Australia","(36.0595148, -91.9084819)","(-37.8142454, 144.9631732)"
"Rockham, South Dakota","Rockhampton, Queensland, Australia","(44.9038644, -98.824824)","(-23.3782137, 150.5134227)"
"Wagram, North Carolina","Deutsch-Wagram, Austria","(34.8879397, -79.3661515)","(48.2959872, 16.5568452)"
"Freistatt, Missouri","Freistadt, Austria","(37.018392, -93.897708)","(48.5112961, 14.5047566)"
"Vienna, Illinois","Vienna, Austria","(37.4153295, -88.8978435)","(48.2083537, 16.3725042)"
"Vienna, Indiana","Vienna, Austria","(38.6489481, -85.7688559)","(48.2083537, 16.3725042)"
"Vienna, Missouri","Vienna, Austria","(38.186712, -91.9472969)","(48.2083537, 16.3725042)"
"Vienna, New York","Vienna, Austria","(43.239701, -75.702667)","(48.2083537, 16.3725042)"
"Vienna, Virginia","Vienna, Austria","(38.9013729, -77.2651762)","(48.2083537, 16.3725042)"
"New Wells, Missouri","Wels, Austria","(37.5561613, -89.6245427)","(48.1565472, 14.0243752)"
"Baku, California","Baku, Azerbaijan","(32.5066343, -116.8580102)","(40.3755885, 49.8328009)"
"Antwerp, New York","Antwerp, Belgium","(44.199436, -75.60688)","(51.2211097, 4.3997081)"
